id,title,section,category,topic_tags,environment,gpt6_relation,evidence_level,event_date,window_status,url,code_url,license_status,summary,control_interface,source_ids
P01,GPT-Policy · In-Context Robot Learning,core,closed_loop,control,real,explicit_primary,A,2026-09-16,in_window,https://github.com/cheng-haha/GPT-Policy,https://github.com/cheng-haha/GPT-Policy,项目许可 pending；公开预览不授予再分发/商业使用,固定 VLM 从示教、目标图像和交互历史中适应任务，经受约束的机器人工具闭环执行。,相机/状态/上下文 → Cartesian targets / waypoints → IK 校验 → ARX X5 或 I2RT/YAM,S001;S002
P02,GPT-as-Policy · GPT-6 Direct / π0.5 Hybrid,core,hybrid,control;policy,simulation,explicit_primary,A,2026-09,month_only,https://github.com/anonymous-report-421/GPT-as-Policy,https://github.com/anonymous-report-421/GPT-as-Policy,项目自有代码 MIT；数据 CC BY 4.0；上游资产/模型另计,在对齐 RoboDojo cases 上比较 GPT 直接控制与审查/修正 π0.5 动作；同时提供 RoboLab 展示入口。,Direct：GPT 工具动作；Hybrid：π0.5 提案 + GPT 审查/可选修正,S003;S004;S045;S050
P03,Agent as Policy（AGP）,core,closed_loop,control,real,explicit_primary,A,2026-09-11,in_window,https://agent-as-policy-2026.github.io/,https://github.com/agent-as-policy-2026/agent-as-policy-2026,数据 CC BY 4.0；数据卡声明代码 Apache-2.0，但代码公开可访问性未确认,真实双臂环境中由通用 agent 观察、编程、发出控制命令并利用执行反馈修正。,相机工具 → agent 生成程序 → Cartesian / joint commands → 机器人反馈,S005;S006;S007;S009;S044;S078
P04,RoboCurve · Bowl & Puzzle,core,evaluation,evaluation,real,explicit_primary,A,2026-09-04,in_window,https://openai.robocurve.org/gpt-6-astra/,https://github.com/robocurve/inspect-robots,评测框架 MIT；视频/报告版权另计,在 YAM 机械臂上测试粗粒度抓放与精细插入，提供逐次试验及失败边界。,三相机+状态 → 绝对末端位姿/夹爪命令；medium，20 次模型调用上限，25% speed cap,S010;S026
P05,StationeryBench · 五类真实双臂文具任务,core,evaluation,evaluation,real,explicit_primary,A,2026-09-10,in_window,https://openai.robocurve.org/stationerybench/,https://github.com/robocurve/stationerybench,任务仓库 MIT；报告/媒体按原许可,标记笔、纸夹、直尺、便签和盒子组成多阶段双臂任务；同时公布任务进度与完全完成率。,GPT：末端位姿工具；MolmoAct2：10 Hz joint action chunks,S011;S012
P06,RoboDojo · 官方 GPT-6 Astra 评测报告,core,evaluation,evaluation,real_and_sim,explicit_primary,A,2026-09-16,in_window,https://robodojo-benchmark.com/report/gpt-6-astra-eval,,论文 arXiv non-exclusive distribution license；不是 CC BY 或通用再利用许可。图 2 仅用于本地审核预览，公开再发布许可未确认。,"9 月 21 日论文补充完整仿真评测：Astra 在 42 个任务、每任务 50 次、共 2,100 次试验上报告平均成功率 22.48%、Score 28.97。真机协议因不安全动作中止，保留的 33 次仅为诊断样本。",固定 LLM 通过 move_eef 选择末端目标，非学习后处理转换为关节轨迹；不是 25 Hz 模型推理。,S013;S014;S015;S064
P07,ENPIRE · GPT-6 机器人自主实验线索,core,policy_improvement,policy;control,real,explicit_author_mirror,B,2026-09-09,reported_in_window,https://github.com/NVlabs/ENPIRE,https://github.com/NVlabs/ENPIRE,Apache-2.0；第三方组件另计,NVIDIA 的真实机器人实验框架；GPT-6 特定应用来自作者演示声明，框架本体早于本窗口。,reset → execute → verify → record → refine；CaP / RL / BC 等可用,S018;S019
P08,GPT6-real2sim · DROID / YAM 重建,core,real2sim,real-to-sim;replay,simulation,explicit_primary,A,2026-09,month_only,https://github.com/lingxiao-guo/GPT6-real2sim,https://github.com/lingxiao-guo/GPT6-real2sim,需逐项检查第三方资产及仓库许可,由演示重建场景、标定及接触回放；代码同时保留不成功的物理重放。,多视角 RGB / 机器人动作 → MuJoCo 接触仿真 + Blender 渲染,S020
P09,Real2Sim_GPT6_ASTRA · 三视角几何重放,core,real2sim,real-to-sim;replay,visual_replay,explicit_primary,A,2026-09,month_only,https://github.com/hku-sail/Real2Sim_GPT6_ASTRA,https://github.com/hku-sail/Real2Sim_GPT6_ASTRA,项目/机器人资产各自许可需核对,从三路 RGB 重建可编辑 Blender 场景与动作动画，公开建模、拟合及验证代码。,RGB → 估计相机/尺度/几何/轨迹 → Blender 重放,S021
P10,Real2Gym,core,real2sim,real-to-sim;replay,simulation,explicit_primary,B,2026-09,month_only,https://cskrren.github.io/real2gym-site/,https://github.com/cskrren/Real2Gym,未核实,项目页展示真人/机器人视频到可执行机器人仿真的工作流，结合 Blender 与 MuJoCo。,真实演示 → 场景重建/动作重定向 → 仿真执行与场景变化,S022
P11,dexgpt · 手部视频到仿真,core,real2sim,real-to-sim;replay,simulation,explicit_author_mirror,B,2026-09-09,reported_in_window,https://github.com/Hu-xiao-max/dexgpt,https://github.com/Hu-xiao-max/dexgpt,未核实,已定位作者的 dexgpt 仓库；44-DoF 手部跟踪、IK 和抓取细节仍主要来自作者社交演示。,作者声称：视频 → hand tracking → IK retargeting → grasp refinement,S023;S024;S051
P12,Drone-Bench · Astra 更新,core,coding_evaluation,evaluation;code-generation,simulation_and_hardware_demo,explicit_primary,A,,date_unconfirmed,https://andonlabs.com/evals/drone-bench,,未核实,评测模型编写无人机感知与控制程序的能力，官方页面已列入 gpt-6-astra。,编码 agent → 五项独立子任务代码；局部控制系统执行,S025
P13,Inspect Robots,supporting,harness,harness;control,real_and_sim,infrastructure,A,,date_unconfirmed,https://github.com/robocurve/inspect-robots,https://github.com/robocurve/inspect-robots,MIT,真实/仿真任务与多类策略共用的可审计评测框架，是 RoboCurve 报告的执行基础。,policy × embodiment × task；日志包含配置、动作和评判,S026;S079
P14,Show-Harness,supporting,harness,harness;control,real_and_sim,not_established,A,2026-09,month_only,https://github.com/showlab/Show-Harness,https://github.com/showlab/Show-Harness,HF Qwen adapters/data Apache-2.0；Gemma adapter 受 Gemma terms 约束；代码许可需单独核对,将离散语义动作交给本体解释器，附示教采集、训练、模型和数据。,图像 → MV_* / GRASP / RELEASE / DONE → 确定性运动解释器,S027;S028;S029
P15,PhysBrain 1.5 / PhysBrainEvalKit,supporting,understanding_benchmark,benchmark;understanding,noninteractive,comparison_only,A,2026-09,month_only,https://deepcybo-physai.github.io/PhysBrain-1.5/,https://github.com/DeepCybo-PhysAI/PhysBrain-1.5,未核实,包含 GPT-6 作为对照的具身理解评测，以及独立开源模型和动作/未来状态展示。,本条对比口径为具身理解输出，而非 GPT6 控制机器人成功率,S030;S031
P16,RoboDojo / XPolicyLab 基础设施,supporting,benchmark,benchmark,real_and_sim,infrastructure,A,2026-09-16,updated_in_window,https://github.com/robodojo-benchmark/RoboDojo,https://github.com/robodojo-benchmark/RoboDojo,待核冲突：README 正文为非商业研究许可，GitHub UI 标签显示 MIT,统一模拟和真机操作评测；RoboDojo 负责环境，XPolicyLab 负责策略侧集成。,策略服务器 ↔ 仿真客户端；状态/动作协议按本体配置,S016;S017;S080
P17,HumanCLAW,supporting,benchmark,benchmark,simulation,reported_secondary,A,2026-07-29,outside_window,https://github.com/Human-CLAW/HumanCLAW,https://github.com/Human-CLAW/HumanCLAW,未核实,人形机器人导航与交互基准；社区存在 Astra 演示线索，但本条只确认基准本体。,抽象动作/技能与 half-physics 环境,S032
P18,RoboHarm · 机器人危险指令拒绝评测,core,evaluation,evaluation,real,explicit_primary,A,2026-09-19,in_window,https://github.com/robocurve/roboharm,https://github.com/robocurve/roboharm,项目明确采用 CC BY-NC 4.0；原始视频与第三方依赖仍按各自权利边界处理。,在五类固定危险场景中比较 GPT-6 Astra、Claude Fable 5.1 与 MolmoAct2 是否尝试、拒绝或完成有害指令，并保留三机位视频与转录的事后标注流程。,三相机与本体状态 → Inspect Robots agent/VLA policy → YAM 双臂动作；Astra/Fable 为 medium effort、40 次模型调用上限与 25% 速度限制,S053;S054;S055;S081
P19,RoboFind · 面向视障用户的个性化物品搜索,core,closed_loop,control,real,explicit_primary,A,2026-09-17,in_window,https://arxiv.org/abs/2609.20330,,论文 CC BY 4.0；正文称代码与结果将公开，但本轮未定位对应公开实现,手机端一次性教授个人物品，Unitree Go2 执行搜索，验证与恢复 agent 在候选停点核对实例身份并决定完成或继续搜索；GPT-6 Astra 用于目标画像与导航指令，并设独立 Astra-only 对照。,手机教学视频 → GPT-6 Astra 目标画像/导航指令 → Uni-NaVid 驱动 Go2 搜索 → Grounding DINO + DINOv2 验证 → 固定恢复动作后继续搜索,S056
P20,EmbodiedSWE · 长时程灵巧机器人编码智能体基准,core,coding_evaluation,evaluation;code-generation,simulation,explicit_primary,A,2026-09-20,in_window,https://embodiedswe.github.io/,,项目媒体与代码许可未核实；本次未下载或重新托管视频。,GPT-6 Astra 通过 Codex 编写和迭代仿真任务解法。项目覆盖 28 个任务，报告 Astra 成功率 82%；页面未给出主评测逐模型运行分母，尚未独立复现。,GPT-6 Astra writes and iterates simulation solutions through Codex. The project covers 28 tasks and reports 82% success for Astra; the page does not state the main evaluation run denominator. Not independently reproduced.,S059;S060
P21,OpenArm Mona Lisa · LeRobot ACT 仿真绘画,core,generated_control,code-generation;control,simulation,explicit_primary,A,,date_unconfirmed,https://arena.himrobotics.com/uploads/source_59ffd3291f3623fc498d,,官方 HIM Arena 视频已下载并仅用于本地审核预览；项目媒体与代码的公开再利用许可仍未核实。,HIM Astra 挑战中的 OpenArm 仿真绘画项目，结合脚本绘画序列与 ACT 关节策略。GPT-6 是构建助手；真机和真实颜料未测试，发布日期未知。,An OpenArm simulation painting entry in the HIM Astra challenge combines a scripted painting sequence with an ACT joint policy. GPT-6 assists development; physical hardware and real paint are untested. Publication date unknown.,S061;S063
P22,Fridge Speller · G1 字母磁贴拼词,core,generated_control,code-generation;control,simulation,explicit_primary,A,,date_unconfirmed,https://arena.himrobotics.com/uploads/source_62bc9b696cef9e7c64d6,,官方 HIM Arena 视频已下载并仅用于本地审核预览；项目媒体与代码的公开再利用许可仍未核实。,在 MuJoCo 中，Unitree G1 与 Dex3-1 手行走至冰箱并用磁贴拼出 HELLO。作者称项目用 GPT-6 Astra 构建；仅报告单场景演示，未证明模型逐步直接控制，也无真机结果。发布日期未知。,"A simulated Unitree G1 with Dex3-1 hands walks to a fridge and spells HELLO with magnets. The author credits GPT-6 Astra for building the project; this is a nominal-scene demo, without evidence of direct model control or real-hardware results. Publication date unknown.",S062;S063
